iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
6925,AI_Muette,2023-02-01T16:00:00+00:00,,,Inconnu,3580,AI_Muette-1,2437,AI_Muette,Ouvert,2005-01-01,2019-06-01,2.268037013089641,48.86515492930557,Feature,"[[2.2677857730759974, 48.864772173803075], [2.2679460310519177, 48.864955147206665], [2.268128872988731, 48.86528595014034], [2.2682182009310714, 48.865576150773705]]",LineString
6927,AI_Champerret,2023-02-01T16:00:00+00:00,,,Inconnu,3582,AI_Champerret-1,2736,AI_Champerret,Ouvert,2005-01-01,2019-06-01,2.2917546035820413,48.88777006828096,Feature,"[[2.291122453714546, 48.88731495900628], [2.292386753449537, 48.888225177555626]]",LineString
6928,AI_Asnieres,2023-02-01T16:00:00+00:00,,,Inconnu,3583,AI_Asnieres-1,2265,AI_Asnieres,Ouvert,2005-01-01,2019-06-01,2.3029864722587505,48.892830499323225,Feature,"[[2.302701430458949, 48.89258265408946], [2.3032715140585522, 48.89307834455699]]",LineString
6929,AI_Clichy,2023-02-01T15:00:00+00:00,,,Inconnu,3584,AI_Clichy-1,2028,AI_Clichy,Ouvert,2005-01-01,2019-06-01,2.3121571362235045,48.897189217479095,Feature,"[[2.311452087849932, 48.89685604765354], [2.3128621845970767, 48.897522387304655]]",LineString
6930,AI_St_Ouen,2023-02-01T15:00:00+00:00,,,Inconnu,3585,AI_St_Ouen-1,2012,AI_St_Ouen,Ouvert,2005-01-01,2019-06-01,2.3324763490840468,48.90059636376979,Feature,"[[2.3316358809002127, 48.90054319724011], [2.3333168172678804, 48.90064953029947]]",LineString
6931,AI_Clignancourt,2023-02-01T15:00:00+00:00,,,Inconnu,3586,AI_Clignancourt-1,924,AI_Clignancourt,Ouvert,2005-01-01,2019-06-01,2.346288104133646,48.90087177291882,Feature,"[[2.3455264619068714, 48.900789914905516], [2.347049746360421, 48.90095363093213]]",LineString
6933,AI_Villette,2023-02-01T16:00:00+00:00,,,Inconnu,3588,AI_Villette-1,941,AI_Villette,Ouvert,2005-01-01,2019-06-01,2.3911709649609776,48.89990127209308,Feature,"[[2.3902829390631717, 48.90011338481763], [2.3908080803288927, 48.900003517161274], [2.391272400054394, 48.899879299819865], [2.3920537265897206, 48.89966726263592]]",LineString
6933,AI_Villette,2023-02-01T15:00:00+00:00,,,Inconnu,3588,AI_Villette-1,941,AI_Villette,Ouvert,2005-01-01,2019-06-01,2.3911709649609776,48.89990127209308,Feature,"[[2.3902829390631717, 48.90011338481763], [2.3908080803288927, 48.900003517161274], [2.391272400054394, 48.899879299819865], [2.3920537265897206, 48.89966726263592]]",LineString
6934,AI_Pantin,2023-02-01T16:00:00+00:00,,,Inconnu,3589,AI_Pantin-1,802,AI_Pantin,Ouvert,2005-01-01,2019-06-01,2.3966976151254693,48.886996885344495,Feature,"[[2.3964508529429707, 48.887547032130016], [2.3964942296457785, 48.8873979183454], [2.396568586010568, 48.887183247182286], [2.396676116494225, 48.887010165887204], [2.3969993799413594, 48.88647138238033]]",LineString
6935,AI_Lilas,2023-02-01T16:00:00+00:00,,,Inconnu,3590,AI_Lilas-1,781,AI_Lilas,Ouvert,2005-01-01,2019-06-01,2.409413615488507,48.87612775545006,Feature,"[[2.408927703362984, 48.87660189977553], [2.40989952761403, 48.87565361112459]]",LineString
