Identifiant arc,Libelle,Date et heure de comptage,Debit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,Unnamed: 14
6603,Julia_Bartet,2023-12-05T21:00:00+01:00,362.0,14.98389,Fluide,636,Julia_Bartet-PI,647,Place_de_la_Porte_de_Vanves,Invalide,39155.0,44927.0,48.8268044172518,2.30403553711766
6603,Julia_Bartet,2023-12-05T20:00:00+01:00,363.0,15.44944,Pr�-satur�,636,Julia_Bartet-PI,647,Place_de_la_Porte_de_Vanves,Invalide,39155.0,44927.0,48.8268044172518,2.30403553711766
7051,Bd_Bessieres,2023-12-05T13:00:00+01:00,336.0,1.62056,Fluide,3641,Bd_Bessieres_face_67,2018,Bd_Bessieres-Dr_Brousse,Invalide,,,,
7250,Pl_de_la_Nation,2023-06-08T23:00:00+02:00,1037.0,14.64334,Fluide,2697,Pl_de_la_Nation-Face_14,2612,Pl_Nation-Av_du_Trone,Invalide,,,,
7250,Pl_de_la_Nation,2023-06-08T22:00:00+02:00,1109.0,14.42389,Fluide,2697,Pl_de_la_Nation-Face_14,2612,Pl_Nation-Av_du_Trone,Invalide,,,,
7250,Pl_de_la_Nation,2023-06-08T19:00:00+02:00,1623.0,23.69445,Pr�-satur�,2697,Pl_de_la_Nation-Face_14,2612,Pl_Nation-Av_du_Trone,Invalide,,,,
6512,Belleville,2023-12-06T00:00:00+01:00,366.0,8.56611,Fluide,3376,Belleville-Rampal,678,Fbg_Temple-Belleville,Invalide,37687.0,44927.0,48.8724947328372,2.37841967804897
6512,Belleville,2023-12-05T23:00:00+01:00,336.0,8.545,Fluide,3376,Belleville-Rampal,678,Fbg_Temple-Belleville,Invalide,37687.0,44927.0,48.8724947328372,2.37841967804897
6512,Belleville,2023-12-05T22:00:00+01:00,405.0,13.79889,Fluide,3376,Belleville-Rampal,678,Fbg_Temple-Belleville,Invalide,37687.0,44927.0,48.8724947328372,2.37841967804897
6512,Belleville,2023-12-05T21:00:00+01:00,359.0,41.03556,Satur�,3376,Belleville-Rampal,678,Fbg_Temple-Belleville,Invalide,37687.0,44927.0,48.8724947328372,2.37841967804897
6512,Belleville,2023-12-05T19:00:00+01:00,300.0,54.105,Bloqu�,3376,Belleville-Rampal,678,Fbg_Temple-Belleville,Invalide,37687.0,44927.0,48.8724947328372,2.37841967804897
6998,Bd_Poniatowski,2023-12-05T13:00:00+01:00,187.0,1.66722,Fluide,506,Bd_Poniatowski-Claude_Decaen,3628,Bd_Poniatowski face 57,Invalide,42628.0,44927.0,48.8333600890661,2.40171652615568
6572,Bd_Kellermann,2023-06-16T15:00:00+02:00,288.0,1.62722,Fluide,3405,Bd_Kellermann-Cacheux,2244,Bd_Kellermann-Thomire,Invalide,39041.0,44927.0,48.8198922370794,2.34714097051523
6582,Bd_des_Invalides,2023-06-16T14:00:00+02:00,765.0,6.79222,Fluide,3366,Bd_des_Invalides-Tourville,3411,Bd_des_Invalides-face_6,Invalide,39062.0,44927.0,48.8543359346473,2.31488726646234
6584,Bd_des_Invalides,2023-06-16T15:00:00+02:00,776.0,4.98889,Fluide,3411,Bd_des_Invalides-face_6,3412,Bd_des_Invalides-Varenne,Invalide,39062.0,44927.0,48.8555176690218,2.31502366508132
6586,Bd_des_Invalides,2023-06-16T14:00:00+02:00,563.0,3.35778,Fluide,3412,Bd_des_Invalides-Varenne,3413,Bd_des_Invalides-Grenelle,Invalide,39062.0,44927.0,48.8570413806503,2.31520317704425
6600,Quai_Austerlitz,2023-06-16T15:00:00+02:00,54.0,2.10222,Fluide,296,Pont_Charles_de_Gaulle_RG,294,Quai_Austerlitz_sortie_Gare,Barr�,39111.0,44927.0,48.8419579997478,2.36790338360784
6603,Julia_Bartet,2023-06-16T15:00:00+02:00,340.0,30.34889,Satur�,636,Julia_Bartet-PI,647,Place_de_la_Porte_de_Vanves,Invalide,39155.0,44927.0,48.8268044172518,2.30403553711766
6603,Julia_Bartet,2023-06-16T14:00:00+02:00,345.0,29.73278,Pr�-satur�,636,Julia_Bartet-PI,647,Place_de_la_Porte_de_Vanves,Invalide,39155.0,44927.0,48.8268044172518,2.30403553711766
6614,Av_Simon_Bolivar,2023-06-16T15:00:00+02:00,314.0,13.57222,Fluide,3427,Mathurin_Moreau-Simon_Bolivar,2638,Bolivar-Pailleron,Invalide,39279.0,44927.0,48.8790490637444,2.37438355703975
6614,Av_Simon_Bolivar,2023-06-08T22:00:00+02:00,275.0,9.11945,Fluide,3427,Mathurin_Moreau-Simon_Bolivar,2638,Bolivar-Pailleron,Invalide,39279.0,44927.0,48.8790490637444,2.37438355703975
6614,Av_Simon_Bolivar,2023-06-08T20:00:00+02:00,298.0,8.67,Fluide,3427,Mathurin_Moreau-Simon_Bolivar,2638,Bolivar-Pailleron,Invalide,39279.0,44927.0,48.8790490637444,2.37438355703975
6614,Av_Simon_Bolivar,2023-06-08T19:00:00+02:00,301.0,7.90611,Fluide,3427,Mathurin_Moreau-Simon_Bolivar,2638,Bolivar-Pailleron,Invalide,39279.0,44927.0,48.8790490637444,2.37438355703975
6614,Av_Simon_Bolivar,2023-06-08T18:00:00+02:00,342.0,11.99778,Fluide,3427,Mathurin_Moreau-Simon_Bolivar,2638,Bolivar-Pailleron,Invalide,39279.0,44927.0,48.8790490637444,2.37438355703975
